10001|Cash|1001|98.5|115.93450000000001|7.5845|9.850000000000001|2019-04-02T18:50:01.098|
10002|Nets|1002|16.7|19.655900000000003|1.67|1.2859|2019-04-02T18:50:05.536|
10003|Visa|1003|4.5|5.2965|0.34650000000000003|0.45|2019-04-02T18:50:11.046|
10004|Visa|1004|20.0|23.54|2.0|1.54|2019-04-02T18:52:34.223|
10005|Cash|1013|49.0|57.673|3.773|4.9|2019-04-04T12:28:39.236820|
10006|Cash|1014|0.0|0.0|0.0|0.0|2019-04-05T21:47:58.829179|
10007|Cash|1009|20.0|23.54|1.54|2.0|2019-04-05T21:54:39.958325|
10008|Cash|1010|34.0|40.018|3.4000000000000004|2.6180000000000003|2019-04-05T21:55:04.304370|
10009|Cash|1011|29.0|34.133|2.233|2.9000000000000004|2019-04-05T21:59:19.600189|
10010|Cash|1012|59.0|69.443|5.9|4.543000000000001|2019-04-05T22:00:02.968133|
10011|Cash|1015|0.0|0.0|0.0|0.0|2019-04-05T22:07:05.161224|
10012|Cash|1016|0.0|0.0|0.0|0.0|2019-04-05T22:08:39.255204|
10013|Cash|1017|0.0|0.0|0.0|0.0|2019-04-05T22:10:00.990521|
10014|Cash|1018|16.0|18.832|1.6|1.2320000000000002|2019-04-05T22:24:43.773179|
10015|Cash|1019|0.0|0.0|0.0|0.0|2019-04-05T22:26:49.055495|
10016|Cash|1020|0.0|0.0|0.0|0.0|2019-04-05T20:29:39.833117|
